cpc_subsection,cpc_subsection_label
A0,AGRICULTURE
A2,FOODSTUFFS; TOBACCO
A4,PERSONAL OR DOMESTIC ARTICLES
A6,HEALTH; AMUSEMENT
A9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (HUMAN NECESSITIES)
B0,SEPARATING; MIXING
B2,SHAPING
B4,PRINTING
B6,TRANSPORTING
B8,MICROSTRUCTURAL TECHNOLOGY; NANOTECHNOLOGY
B9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (PERFORMING OPERATIONS; TRANSPORTING)
C0,CHEMISTRY
C2,METALLURGY
C4,COMBINATORIAL TECHNOLOGY
C9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (CHEMISTRY; METALLURGY)
D0,TEXTILES OR FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
D2,PAPER
D9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (TEXTILES; PAPER)
E0,BUILDING
E2,EARTH DRILLING; MINING
E9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (FIXED CONSTRUCTIONS)
F0,ENGINES OR PUMPS
F1,ENGINEERING IN GENERAL
F2,LIGHTING; HEATING
F4,WEAPONS; BLASTING
F9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (MECHANICAL ENGINEERING; LIGHTING; HEATING; WEAPONS; BLASTING)
G0,INSTRUMENTS
G1,MUSICAL INSTRUMENTS; ACOUSTICS; INFORMATION STORAGE; INFORMATION AND COMMUNICATION TECHNOLOGY
G2,NUCLEONICS
G9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (PHYSICS)
H0,ELECTRIC ELEMENTS; GENERATION OF ELECTRICITY; ELECTRIC COMMUNICATION TECHNIQUE
H1,SEMICONDUCTOR DEVICES; ELECTRIC SOLID-STATE DEVICES NOT OTHERWISE PROVIDED FOR
H9,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION (ELECTRICITY)
Y0,TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE; INFORMATION OR COMMUNICATION TECHNOLOGIES HAVING AN IMPACT ON OTHER TECHNOLOGY AREAS
Y1,TECHNICAL SUBJECTS COVERED BY FORMER USPC